section,line_hint,figure_panel,metric,group,value,uncertainty,n,unit,source_file,verified,suggested_sentence,notes
4.4,372-378,Fig. 3D,mean_abs_SHAP,Top Electrode To,0.000,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Water Interaction Mode Evaporation Driven,0.011,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Water Interaction Mode Liquid Contact,0.004,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,Water Interaction Mode Vapor Adsorption,0.007,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
4.4,372-378,Fig. 3D,mean_abs_SHAP,log(R),0.460,,112,mean absolute SHAP value,..\results\figure3_model_comparison\fig3D_SHAP_descriptor_importance.csv,yes,,Validated R1C2 observed-R population; no resistance imputation.
5.2,415-420,Fig. 4B/4C,R_regime_threshold,low-R vs high-R,-1.0,,,"log(R), R in MΩ",notebook 15,yes,"The observed-R subset was divided using a threshold of \(\log(R)=-1\), corresponding to \(R=0.1\ \mathrm{M\Omega}\).",
5.2,415-423,Fig. 4B,R_regime_median_log_P_est,high_R,-0.824,"mean=-0.850, std=1.244",57,log(P_est),..\results\figure4_resistance_regimes\fig4B_R_regime_summary.csv,yes,,
5.2,415-423,Fig. 4B,R_regime_median_log_P_est,low_R,0.455,"mean=0.414, std=0.957",55,log(P_est),..\results\figure4_resistance_regimes\fig4B_R_regime_summary.csv,yes,,
5.3,442-449,Fig. 4D,R_descriptor_cv_R2,R_regime_descriptor,0.297,0.132,,CV R2,..\results\figure4_resistance_regimes\fig4D_R_descriptor_comparison.csv,yes,,
5.3,442-449,Fig. 4D,R_descriptor_cv_R2,baseline_logR,0.251,0.091,,CV R2,..\results\figure4_resistance_regimes\fig4D_R_descriptor_comparison.csv,yes,,
5.3,442-449,Fig. 4D,R_descriptor_cv_R2,centered_logR,0.251,0.091,,CV R2,..\results\figure4_resistance_regimes\fig4D_R_descriptor_comparison.csv,yes,,
6.2,482-487,Fig. 5A,inorganic_electrolyte_group_median_log_R,with_inorganic_electrolyte,-1.658,"mean=-1.427, std=1.019",41,log(R),..\results\figure5_R_origin\fig5A_inorganic_electrolyte_summary.csv,yes,,
6.2,482-487,Fig. 5A,inorganic_electrolyte_group_median_log_R,without_inorganic_electrolyte,0.000,"mean=-0.235, std=1.352",71,log(R),..\results\figure5_R_origin\fig5A_inorganic_electrolyte_summary.csv,yes,,
6.2,494-498,Fig. 5B,ion_type_group_median_log_R,anion,-0.184,"mean=-0.196, std=1.406",8,log(R),..\results\figure5_R_origin\fig5B_ion_type_summary.csv,yes,,
6.2,494-498,Fig. 5B,ion_type_group_median_log_R,other_cation,-1.639,"mean=-1.403, std=1.046",42,log(R),..\results\figure5_R_origin\fig5B_ion_type_summary.csv,yes,,
6.2,494-498,Fig. 5B,ion_type_group_median_log_R,proton,0.000,"mean=-0.236, std=1.353",62,log(R),..\results\figure5_R_origin\fig5B_ion_type_summary.csv,yes,,
6.2/6.3,482-513,Fig5A,statistical_test_p_value,inorganic electrolyte presence,4.104e-06,test=Mann-Whitney U,,p-value,..\results\figure5_R_origin\fig5_statistical_tests.csv,yes,,
6.2/6.3,482-513,Fig5B,statistical_test_p_value,ion type,3.703e-05,test=Kruskal-Wallis,,p-value,..\results\figure5_R_origin\fig5_statistical_tests.csv,yes,,
6.2/6.3,482-513,Fig5C,statistical_test_p_value,structure class,8.126e-03,test=Kruskal-Wallis,,p-value,..\results\figure5_R_origin\fig5_statistical_tests.csv,yes,,
6.3,508-513,Fig. 5C,structure_group_median_log_R,film,-1.000,"mean=-0.946, std=1.173",13,log(R),..\results\figure5_R_origin\fig5C_structure_class_summary.csv,yes,,
6.3,508-513,Fig. 5C,structure_group_median_log_R,hydrogel,-2.000,"mean=-1.709, std=0.915",10,log(R),..\results\figure5_R_origin\fig5C_structure_class_summary.csv,yes,,
6.3,508-513,Fig. 5C,structure_group_median_log_R,hydrogel_+_film,-1.398,"mean=-1.398, std=",1,log(R),..\results\figure5_R_origin\fig5C_structure_class_summary.csv,yes,,
6.3,508-513,Fig. 5C,structure_group_median_log_R,hydrogel_+_porous,-1.849,"mean=-2.080, std=0.635",4,log(R),..\results\figure5_R_origin\fig5C_structure_class_summary.csv,yes,,
6.3,508-513,Fig. 5C,structure_group_median_log_R,porous,-0.228,"mean=-0.429, std=1.371",84,log(R),..\results\figure5_R_origin\fig5C_structure_class_summary.csv,yes,,
7.2,568-582,Fig. 6A,elastic_net_coefficient,Inorganic electrolyte,0.072,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Ion: anion,-0.274,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Ion: other cation,0.506,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Mechanism: ion gradient,0.070,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Mechanism: streaming,-0.022,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Structure: film,1.000,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Structure: hydrogel,-0.066,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Structure: hydrogel  +  film,0.599,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,Structure: porous,-0.296,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,568-582,Fig. 6A,elastic_net_coefficient,log(R),-0.469,,,standardized/encoded coefficient,..\results\figure6_virtual_design\fig6A_linear_descriptor_coefficients_plot.csv,yes,,Coefficients depend on scaling and one-hot encoding; not universal physical constants.
7.2,590-595,Fig. 6B,linear_vs_polynomial_model_performance,Linear Elastic Net descriptor,0.298,"CV std=0.134, test R2=0.342",,CV R2,..\results\figure6_virtual_design\fig6B_linear_vs_polynomial_model_comparison.csv,yes,,
7.2,590-595,Fig. 6B,linear_vs_polynomial_model_performance,Polynomial Elastic Net descriptor,0.228,"CV std=0.063, test R2=0.281",,CV R2,..\results\figure6_virtual_design\fig6B_linear_vs_polynomial_model_comparison.csv,yes,,
7.3,602-608,Fig. 6C,predicted_log_P_est_low_minus_high_R,Film,0.691,"High-R=1.103, Threshold=1.449, Low-R=1.794",,predicted log(P_est),..\results\figure6_virtual_design\fig6C_regime_aware_virtual_design.csv,yes,,
7.3,602-608,Fig. 6C,predicted_log_P_est_low_minus_high_R,Hydrogel,0.691,"High-R=0.038, Threshold=0.383, Low-R=0.729",,predicted log(P_est),..\results\figure6_virtual_design\fig6C_regime_aware_virtual_design.csv,yes,,
7.3,602-608,Fig. 6C,predicted_log_P_est_low_minus_high_R,Hydrogel + film,0.691,"High-R=0.703, Threshold=1.049, Low-R=1.394",,predicted log(P_est),..\results\figure6_virtual_design\fig6C_regime_aware_virtual_design.csv,yes,,
7.3,602-608,Fig. 6C,predicted_log_P_est_low_minus_high_R,Hydrogel + porous,0.691,"High-R=0.104, Threshold=0.449, Low-R=0.795",,predicted log(P_est),..\results\figure6_virtual_design\fig6C_regime_aware_virtual_design.csv,yes,,
7.3,602-608,Fig. 6C,predicted_log_P_est_low_minus_high_R,Porous,0.691,"High-R=-0.192, Threshold=0.153, Low-R=0.499",,predicted log(P_est),..\results\figure6_virtual_design\fig6C_regime_aware_virtual_design.csv,yes,,
7.3,609-616,Fig. 6D,top_virtual_candidate_predicted_log_P_est,film | other_cation | inorg=1 | logR=-2.0,1.794,,,predicted log(P_est),..\results\figure6_virtual_design\fig6D_top_virtual_design_candidates.csv,yes,The top-ranked virtual descriptor state reached a predicted \(\log(P_\mathrm{est})\) of approximately 1.79.,
